S.No,name,male,book1,book2,book3,book4,book5,isNoble,numDeadRelations,isPopular,isAlive,age,popularity
1,Viserys II Targaryen,1,0,0,0,0,0,0,11,1,0,21,0.605351171
2,Walder Frey,1,1,1,1,1,1,1,1,1,1,97,0.89632107
3,Addison Hill,1,0,0,0,1,0,1,0,0,1,,0.267558528
4,Aemma Arryn,0,0,0,0,0,0,1,0,0,0,23,0.183946488
5,Sylva Santagar,0,0,0,0,1,0,1,0,0,1,29,0.043478261
6,Tommen Baratheon,1,0,0,0,0,0,0,5,1,1,,1
7,Valarr Targaryen,1,0,0,0,0,0,1,0,1,0,26,0.431438127
8,Viserys I Targaryen,1,0,0,0,0,0,0,5,1,0,,0.678929766
9,Wilbert,1,0,0,1,0,0,1,0,0,0,,0.006688963
10,Wilbert Osgrey,1,0,0,0,0,0,1,0,0,1,,0.02006689
11,Will,1,1,1,0,0,0,0,0,0,0,,0.163879599
12,Will (orphan),0,0,0,0,1,0,0,0,0,1,,0.003344482
13,Will (squire),1,0,0,0,0,0,0,0,0,1,,0.003344482
14,Will (Standfast),0,0,0,0,0,0,0,0,0,1,,0.003344482
15,Will (Treb),1,0,0,0,0,0,0,0,0,1,,0.003344482
16,Will Humble,1,0,0,0,1,0,0,0,0,1,,0.013377926
17,Willam,1,0,0,0,1,0,0,0,0,1,,0.013377926
18,Willem Wylde,1,0,0,0,0,0,1,0,0,1,,0.02006689
19,Willifer,0,0,0,0,1,0,1,0,0,1,,0.006688963
20,Willit,1,0,1,0,0,0,0,0,0,1,,0.010033445
21,Willis Wode,1,1,0,0,1,0,1,0,0,1,,0.02006689
22,Willis Fell,0,0,0,0,0,0,1,0,0,1,,0.023411371
23,Willow Heddle,0,0,0,0,1,0,0,0,0,1,16,0.033444816
24,Willum,1,1,0,0,0,0,1,0,0,1,,0
25,Wolmer,1,0,0,0,0,0,0,0,0,1,,0.003344482
26,Willow Witch-eye,0,0,0,0,0,1,0,0,0,0,,0.050167224
27,Woth,1,0,1,0,0,0,0,0,0,0,,0.030100334
28,Wulfe,1,0,0,0,1,1,0,0,0,1,,0.023411371
29,Wyl the Whittler,0,0,0,1,0,0,0,0,0,1,,0.006688963
30,Wyl (guard),0,1,0,0,0,0,0,0,0,0,,0.026755853
31,Wyl Waynwood,0,0,0,0,0,0,0,0,0,0,,0.013377926
32,Wun Weg Wun Dar Wun,1,0,0,0,0,1,0,0,0,1,,0.050167224
33,Wylla,1,1,0,1,0,0,0,0,0,1,,0.026755853
34,Wynafryd Manderly,0,0,0,0,1,1,0,0,0,1,25,0.056856187
35,Xhondo,1,0,0,0,1,0,0,0,0,1,,0.02006689
36,Ygon Farwynd,1,0,0,0,1,0,0,0,0,1,,0.010033445
37,Yna,1,0,0,0,1,0,0,0,0,1,,0.02006689
38,Yohn Farwynd,1,0,0,0,1,0,0,0,0,1,,0.010033445
39,Yorkel,0,0,0,0,0,0,0,0,0,1,,0
40,Yorko Terys,1,0,0,0,1,0,0,0,0,1,,0.023411371
41,Yormwell,0,0,0,0,0,0,1,0,0,1,,0.003344482
42,Young Henly,1,0,0,1,0,0,0,0,0,0,59,0.013377926
43,Ysilla,0,0,0,0,0,1,0,0,0,1,,0.040133779
44,Zarabelo,0,0,0,0,1,0,1,0,0,1,,0.006688963
45,Zei,0,0,0,1,0,0,0,0,0,1,,0.013377926
46,Zekko,1,0,0,0,0,1,0,0,0,1,,0.013377926
47,Zharaq zo Loraq,1,0,0,0,0,1,0,0,0,1,,0.010033445
48,Wenda,0,0,0,1,1,0,0,0,0,1,,0.016722408
49,Wex Pyke,1,0,1,1,1,1,0,0,0,1,19,0.113712375
50,Timett,1,1,1,1,0,1,1,0,0,1,27,0.073578595
51,Joffrey Baratheon,1,0,0,0,0,0,0,5,1,0,,1
52,Laenor Velaryon,1,0,0,0,0,0,1,0,0,0,26,0.193979933
53,Leobald Tallhart,1,0,1,1,1,1,1,0,0,0,,0.110367893
54,Maegor I Targaryen,1,0,0,0,0,0,0,0,1,0,,0.705685619
55,Margaery Tyrell,0,1,1,1,1,1,1,3,1,1,22,1
56,Naerys Targaryen,0,1,0,0,0,0,1,12,0,0,100,0.220735786
57,Quence,0,0,0,0,1,0,0,0,0,1,,0.02006689
58,Quellon Botley,1,0,0,0,1,0,0,0,0,1,,0.046822742
59,Quellon Greyjoy,1,0,0,0,1,0,1,0,0,0,,0.090301003
60,Quentyn Blackwood,0,0,0,0,0,0,1,0,0,0,,0.02006689
61,Quenton Greyjoy,1,0,0,0,1,0,0,0,0,1,,0.060200669
62,Quhuru Mo,1,0,1,0,1,0,0,0,0,1,,0.040133779
63,Quickfinger,1,0,0,0,0,0,0,0,0,1,,0.010033445
64,Quill,1,0,0,0,1,0,0,0,0,1,,0.016722408
65,Quentin Tyrell,0,0,0,1,1,0,1,0,0,1,,0.127090301
66,Quort,1,0,0,1,0,0,0,0,0,0,14,0.010033445
67,Qyle,1,0,1,0,0,0,0,0,0,0,,0.013377926
68,Rafe,0,0,0,0,0,0,0,0,0,1,,0.006688963
69,Racallio Ryndoon,1,0,0,0,0,0,0,0,0,1,,0.010033445
70,Ragnor Pyke,0,0,0,0,1,0,0,0,0,1,,0.010033445
71,Rainbow Knight,0,1,0,0,0,0,0,0,0,1,,0.003344482
72,Randa,0,0,0,1,0,0,0,0,0,1,,0.003344482
73,Rast,1,1,1,1,0,0,0,0,0,0,,0.066889632
74,Rawney,1,0,0,0,1,0,1,0,0,1,,0.010033445
75,Raymar Royce,1,0,0,1,0,0,1,0,0,1,,0.013377926
76,Raymond Nayland,0,0,0,0,1,0,1,0,0,1,,0.016722408
77,Raymund Tyrell,0,0,0,1,1,0,0,0,0,1,,0.127090301
78,Red Oarsman,0,0,0,0,1,1,0,0,0,1,,0.016722408
79,Red Lamb,1,0,0,0,0,0,1,0,0,1,,0
80,Redtusk,1,0,0,0,0,0,1,0,0,1,,0.016722408
81,Red Rolfe,1,0,1,0,0,0,0,0,0,0,,0.013377926
82,Redwyn,0,0,1,0,0,0,0,0,0,1,,0.006688963
83,Reynard Webber,0,0,0,0,0,0,1,0,0,1,,0.006688963
84,Reysen,1,0,1,0,0,0,0,0,0,1,,0.023411371
85,Rhaegel Targaryen,1,0,0,0,0,0,1,3,0,0,42,0.096989967
86,Rhaena Targaryen (daughter of Daemon),0,0,0,0,0,0,1,0,0,0,100,0.143812709
87,Rhaena Targaryen (daughter of Aegon III),0,0,0,0,0,0,1,0,0,0,100,0.073578595
88,Rhaenys Targaryen,0,1,0,0,0,0,1,1,0,0,35,0.277591973
89,Rhaenys Targaryen (daughter of Rhaegar),0,1,1,1,1,1,1,10,0,0,3,0.244147157
90,Rhialta Vance,0,0,0,0,1,0,0,0,0,1,,0.016722408
91,Rhaenys Targaryen (daughter of Aemon),0,0,0,0,0,0,1,0,0,0,55,0.143812709
92,Rhonda Rowan,0,0,0,0,1,0,0,0,0,1,,0.050167224
93,Richard Farrow,0,0,0,0,1,0,1,0,0,0,,0.016722408
94,Richard Lonmouth,1,0,0,1,0,0,1,0,0,1,,0.023411371
95,Rigney,1,0,0,0,1,0,1,0,0,1,,0.003344482
96,Rob,1,0,0,0,0,0,0,0,0,1,,0.003344482
97,Rickard Tyrell,1,0,0,1,1,0,0,0,0,1,,0.123745819
98,Robb Reyne,1,0,0,0,0,0,1,0,0,1,,0.006688963
99,Robert Ashford,1,0,0,0,0,0,1,0,0,1,,0.023411371
100,Robert Brax (son of Flement),1,0,1,1,1,0,0,0,0,1,15,0.120401338
101,Robert Paege,0,0,0,1,0,0,1,0,0,1,,0.010033445
102,Robb Stark,1,0,0,0,0,0,0,7,1,0,,1
103,Robin,1,0,0,0,1,0,0,0,0,1,,0.016722408
104,Robert Frey (son of Raymund),1,0,1,1,1,0,0,0,0,1,22,0.147157191
105,Robin Greyjoy,1,0,0,0,1,0,0,0,0,1,,0.063545151
106,Robin Hollard,1,0,0,0,1,0,0,0,0,1,,0.026755853
107,Rodrik Freeborn,1,0,0,0,1,1,0,0,0,1,,0.013377926
108,Roelle,0,0,0,0,1,0,0,0,0,1,,0
109,Rodrik Stark (son of Beron),1,0,0,0,0,1,0,0,0,1,,0.100334448
110,Roger of Pennytree,1,0,0,0,0,0,0,0,0,0,,0.030100334
111,Roggo,0,0,0,0,1,0,0,0,0,1,,0.013377926
112,Roger Ryswell,1,0,0,0,1,1,0,0,0,1,,0.046822742
113,Rolder,1,0,0,0,1,0,0,0,0,1,,0
114,Roland Crakehall (Kingsguard),1,0,0,0,0,0,1,0,0,1,,0.02006689
115,Rolfe,1,0,1,0,0,0,0,0,0,1,,0.003344482
116,Rolland Darklyn,1,0,0,0,1,0,1,0,0,1,,0.010033445
117,Rollam Westerling,1,0,0,1,1,0,0,0,0,1,15,0.043478261
118,Romny Weaver,1,0,0,0,1,0,0,0,0,1,,0.02006689
119,Ronald Storm,1,0,0,0,0,1,0,0,0,1,,0.040133779
120,Ronnel Stout,0,0,0,1,0,0,0,0,0,1,,0.033444816
121,Ronnel Harclay,0,0,0,1,0,0,0,0,0,1,,0.013377926
122,Roone,1,0,0,0,1,0,0,0,0,1,19,0.040133779
123,Roone (maester),1,0,0,1,1,0,1,0,0,1,,0.010033445
124,Roryn Drumm,0,0,0,0,1,0,0,0,0,1,,0.003344482
125,Roose Ryswell,1,0,0,0,1,1,0,0,0,1,,0.030100334
126,Rosamund Lannister,0,0,0,0,1,1,0,0,0,1,,0.023411371
127,Rosey,0,0,0,0,1,0,0,0,0,1,21,0.030100334
128,Rowan,1,0,0,0,0,1,0,0,0,0,,0.060200669
129,Rudge,0,1,0,0,0,0,0,0,0,1,,0
130,Runciter,1,0,0,0,0,0,1,0,0,0,,0.244147157
131,Rupert Crabb,0,0,0,0,1,0,1,0,0,1,,0.006688963
132,Rus,0,0,0,0,1,0,0,0,0,1,,0.010033445
133,Rusty Flowers,1,0,0,0,0,1,0,0,0,1,,0
134,Ryam,1,0,0,0,1,0,1,0,0,1,,0.013377926
135,Ryk,1,0,0,1,1,1,0,0,0,1,,0.026755853
136,Ryles,0,0,0,1,0,0,0,0,0,0,,0.013377926
137,Rymolf,0,0,0,0,0,0,0,0,0,1,,0
138,S'vrone,0,0,0,0,0,0,0,0,0,1,,0.013377926
139,Saathos,0,0,1,0,0,0,0,0,0,1,,0.003344482
140,Sailor's Wife,0,0,0,0,0,0,0,0,0,1,,0.046822742
141,Sallor,1,0,0,1,0,0,0,0,0,0,,0.030100334
142,Salloreon,1,0,1,0,0,0,0,0,0,1,,0.013377926
143,Sam Stoops,1,0,0,0,0,0,0,0,0,1,,0.003344482
144,Samwell Spicer,1,0,0,1,1,0,1,0,0,1,,0.013377926
145,Sargon Botley,1,0,0,0,1,0,0,0,0,1,,0.053511706
146,Scarb,0,0,0,1,0,0,0,0,0,1,,0.006688963
147,Sawwood,1,0,0,1,0,0,0,0,0,1,,0.010033445
148,Sedgekins,0,0,0,1,0,0,0,0,0,1,,0
149,Sefton Staunton,1,0,0,0,0,0,0,0,0,1,,0.030100334
150,Serra,0,0,0,0,0,1,0,0,0,1,,0.016722408
151,Sharna,0,0,0,1,1,0,0,0,0,1,,0.036789298
152,Shella,0,1,0,0,0,0,0,0,0,1,,0.003344482
153,Sherrit,0,0,0,1,0,0,1,0,0,1,,0.003344482
154,Shortear,0,0,0,0,1,0,0,0,0,1,,0.013377926
155,Shyra,0,0,1,0,1,0,0,0,0,1,,0.02006689
156,Sigfry Stonetree,1,0,0,0,1,0,0,0,0,1,,0.003344482
157,Sigrin,1,0,1,1,0,0,0,0,0,1,,0.023411371
158,Simon Leygood,0,0,0,0,0,0,1,0,0,1,,0.003344482
159,Sky Blue Su,0,0,0,1,0,0,0,0,0,1,,0
160,Skinner,1,0,0,0,0,1,0,0,0,1,,0.033444816
161,Skittrick,0,0,1,0,0,0,0,0,0,1,,0.006688963
162,Skyte,1,0,1,1,1,0,0,0,0,1,,0.023411371
163,Sloey,0,0,0,0,1,0,0,0,0,1,,0.016722408
164,Spare Boot,1,0,0,1,1,1,0,0,0,1,,0.013377926
165,Softfoot,1,0,0,1,0,0,0,0,0,0,,0.02006689
166,Spotted Pate of Maidenpool,1,0,0,1,0,0,0,0,0,0,,0.013377926
167,Squint,0,0,1,0,0,0,0,0,0,0,,0.003344482
168,Squirrel,0,0,0,0,0,1,0,0,0,0,,0.043478261
169,Steffarion Sparr,1,0,0,0,1,0,0,0,0,1,,0.02006689
170,Stafford Lannister,1,1,1,1,1,1,1,1,0,0,53,0.170568562
171,Steffon Fossoway,1,0,0,0,0,0,1,0,0,1,,0.040133779
172,Steffon Hollard,0,0,0,0,1,0,1,0,0,1,,0.026755853
173,Stannis Baratheon,1,0,0,0,0,0,0,4,1,1,,1
174,Steffon Varner,1,0,1,0,0,0,1,0,0,1,,0.013377926
175,Stone Thumbs,0,0,0,1,0,0,0,0,0,0,,0.003344482
176,Stonehand,0,0,0,0,1,1,0,0,0,1,,0.010033445
177,Sybassion,1,0,1,0,0,0,0,0,0,1,,0.013377926
178,Sylas,0,0,1,0,0,0,0,0,0,0,,0.006688963
179,Symon Stripeback,1,0,0,0,0,1,0,0,0,1,,0.043478261
180,Symond Botley,1,0,0,0,1,0,0,0,0,1,,0.046822742
181,Tagganaro,1,0,0,0,1,0,0,0,0,1,,0.030100334
182,Tal Toraq,1,0,0,0,0,1,0,0,0,1,,0.023411371
183,Talea,0,0,0,0,1,0,0,0,0,1,,0.02006689
184,Talla Tarly,1,0,0,1,0,0,0,0,0,1,,0.070234114
185,Tansy,0,0,0,1,1,0,0,0,0,1,,0.023411371
186,Tansy (orphan),0,0,0,0,1,0,0,0,0,1,,0.006688963
187,Tarber,1,0,1,0,0,0,0,0,0,1,,0.033444816
188,Terrance Lynderly,0,0,0,0,1,0,0,0,0,1,,0.016722408
189,Terro,1,0,0,0,1,0,0,0,0,1,,0.013377926
190,Theo Frey,1,1,0,0,0,0,1,0,0,1,,0.013377926
191,Theobald,1,0,0,0,1,0,1,0,0,1,,0.02006689
192,Thistle,0,0,0,0,0,1,0,0,0,0,,0.016722408
193,Theon Stark,1,0,0,0,0,0,0,0,0,1,,0.056856187
194,Thormor Ironmaker,1,0,0,0,1,0,0,0,0,1,,0.016722408
195,Tim Stone,0,0,0,1,1,1,0,0,0,1,,0.016722408
196,Timon,0,0,1,1,0,0,1,0,0,1,,0.006688963
197,Timett (father),0,1,1,0,0,1,0,0,0,1,,0.013377926
198,Timoth,1,0,0,0,1,0,0,0,0,1,,0.006688963
199,Tobbot,0,0,1,0,0,0,0,0,0,1,,0.010033445
200,Toefinger,1,0,0,1,1,0,0,0,0,1,,0.006688963
201,Todric,1,0,1,0,0,0,0,0,0,0,,0.016722408
202,Tom Costayne,0,0,0,0,1,0,1,0,0,1,,0.006688963
203,TomToo,0,0,1,0,0,0,0,0,0,1,,0.013377926
204,Tommard Heddle,1,0,0,0,0,0,1,0,0,0,,0.046822742
205,Toregg,1,0,0,1,1,1,0,0,0,1,,0.026755853
206,Torrek,0,1,0,0,0,0,0,0,0,1,,0
207,Tothmure,1,0,1,0,0,0,1,0,0,0,,0.013377926
208,Torrhen Stark,1,0,0,0,0,0,0,0,0,1,,0.090301003
209,Tregar,0,1,0,0,0,0,0,0,0,0,,0.006688963
210,Tregar Ormollen,1,0,1,0,1,0,0,0,0,1,,0.023411371
211,Tristan Ryger,0,0,0,1,0,0,0,0,0,1,,0.006688963
212,Tristifer V Mudd,1,0,0,0,0,0,0,0,0,1,,0.016722408
213,Tristimun,1,0,0,1,0,0,1,0,0,1,,0
214,Tristifer IV Mudd,1,0,0,0,0,0,0,0,0,0,,0.053511706
215,Tuffleberry,0,0,1,0,0,0,0,0,0,1,,0.003344482
216,Tumberjon,0,0,0,1,0,0,0,0,0,1,,0.010033445
217,Tumco Lho,1,0,0,0,0,1,1,0,0,1,,0.030100334
218,Turnip,0,0,1,0,1,0,0,0,0,1,,0.016722408
219,Turquin,1,0,0,1,0,0,1,0,0,1,,0.003344482
220,Tybero Istarion,1,0,0,0,0,1,0,0,0,1,,0.013377926
221,Tymor,1,0,1,0,0,0,0,0,0,1,,0.006688963
222,Ulf the Ill,0,0,1,0,0,0,0,0,0,0,,0.013377926
223,Tywin Frey (son of Raymund),1,0,0,0,1,0,0,0,0,1,6,0.133779264
224,Uller,1,0,1,1,1,0,0,0,0,1,,0.023411371
225,Umar,0,1,0,0,0,0,0,0,0,1,,0.006688963
226,Umfred,0,0,0,1,0,0,0,0,0,1,,0.003344482
227,Umma,0,0,0,0,1,0,0,0,0,1,,0.016722408
228,Urreg,0,0,1,0,0,0,0,0,0,1,,0.010033445
229,Urek Ironmaker,1,0,0,0,1,0,0,0,0,1,,0.016722408
230,Urrathon,0,0,1,0,0,0,0,0,0,1,,0.013377926
231,Urzen,1,0,1,1,0,0,0,0,0,1,,0.02006689
232,Urron Greyiron,1,0,0,0,0,0,0,0,0,1,,0.040133779
233,Urrigon Greyjoy,1,0,0,0,1,0,0,0,0,1,37,0.073578595
234,Uthor Underleaf,1,0,0,0,0,0,1,0,0,0,100,0.050167224
235,Utt,1,0,1,1,0,0,0,0,0,0,,0.023411371
236,Vaellyn,1,0,0,0,1,0,1,0,0,1,,0.013377926
237,Varly,0,1,0,0,0,0,0,0,0,0,,0.016722408
238,Veiled Lady,0,0,0,0,1,0,0,0,0,1,,0.010033445
239,Vickon Botley,1,0,0,0,1,0,0,0,0,1,,0.046822742
240,Violet,0,0,0,1,0,0,0,0,0,1,,0
241,Victor Tyrell,0,0,0,1,1,0,1,0,0,1,,0.123745819
242,Walda Frey (daughter of Lothar),0,0,1,1,1,0,0,0,0,1,11,0.086956522
243,Walda Frey (daughter of Edwyn),0,0,1,1,1,0,0,0,0,1,15,0.10367893
244,Walda Frey (daughter of Rhaegar),0,0,0,0,0,0,0,0,0,1,17,0
245,Walda Frey (daughter of Walton),0,0,0,0,0,0,0,0,0,1,25,0
246,Walda Frey (daughter of Merrett),0,0,0,0,0,0,0,0,0,1,22,0
247,Walda Rivers (daughter of Aemon),0,0,0,1,0,0,0,0,0,1,10,0.026755853
248,Walder Frey (son of Jammos),1,0,0,0,0,0,0,0,0,1,14,0
249,Walder Frey (son of Emmon),0,0,0,0,0,0,0,0,0,1,20,0
250,Walder Frey (son of Ryman),1,0,0,0,0,0,0,0,0,1,45,0
251,Walder Frey (son of Merrett),1,0,0,0,0,0,0,0,0,0,9,0
252,Wallen,0,1,0,0,0,0,0,0,0,0,,0.02006689
253,Walton,1,0,1,1,1,1,0,0,0,1,,0.046822742
254,Walys Flowers,1,0,0,0,0,1,1,0,0,0,,0.023411371
255,Wat (Barleycorn),1,0,0,0,0,0,0,0,0,1,,0.006688963
256,Blue Bard,1,0,0,0,1,1,0,0,0,1,,0.053511706
257,Wat (orphan),0,0,0,0,1,0,0,0,0,1,,0.003344482
258,Wat (sailor),0,0,0,0,1,0,0,0,0,1,,0.006688963
259,Wat (Standfast),0,0,0,0,0,0,0,0,0,1,,0.003344482
260,Wat (Wet),1,0,0,0,0,0,0,0,0,1,,0.006688963
261,Wate,0,0,0,0,0,0,0,0,0,1,,0
262,Watt,1,0,0,1,0,0,0,0,0,0,,0.016722408
263,Wayn (guard),1,1,0,0,0,0,0,0,0,1,,0.010033445
264,Weasel,1,0,1,0,0,0,0,0,0,1,9,0.016722408
265,Wendell Webber,1,0,0,0,0,0,1,0,0,1,,0.013377926
266,Wendello Qar Deeth,0,0,1,0,0,0,0,0,0,1,,0.010033445
267,Werlag,0,0,1,0,0,0,0,0,0,1,,0.006688963
268,Rafford,1,0,1,1,1,1,0,0,0,0,,0.096989967
269,Jhogo,0,1,1,1,1,1,0,0,0,1,24,0.200668896
270,Sour Alyn,1,0,0,0,0,1,0,0,0,1,,0.043478261
271,Tobho Mott,1,1,1,1,1,1,0,0,0,1,,0.08361204
272,Zollo,1,0,0,1,1,0,0,0,0,1,,0.036789298
273,Tanda Stokeworth,0,1,1,1,1,1,1,1,0,0,,0.113712375
274,Samwell Tarly,1,1,1,1,1,1,0,0,1,1,22,0.969899666
275,Abelar Hightower,1,0,0,0,0,0,1,0,0,1,,0
276,Addam Frey,1,0,0,0,0,0,1,0,0,1,,0.026755853
277,Addam,1,0,0,0,0,0,1,0,0,1,,0.006688963
278,Addam Osgrey,1,0,0,0,0,0,0,0,0,0,13,0.036789298
279,Aegon Frey (son of Aenys),1,0,0,0,0,0,0,0,0,1,52,0
280,Aegon Frey (son of Stevron),1,0,0,0,0,0,0,0,0,0,50,0
281,Aegon I Targaryen,1,0,0,0,0,0,0,6,1,0,,1
282,Aegon II Targaryen,1,0,0,0,0,0,0,7,1,0,,0.759197324
283,Aegon IV Targaryen,1,0,0,0,0,0,0,15,1,0,,0.675585284
284,Aegon Targaryen (son of Baelon),1,0,0,0,0,0,1,0,0,1,,0
285,Aegon III Targaryen,1,0,0,0,0,0,0,8,1,0,,0.62541806
286,Aegon Targaryen (son of Jaehaerys I),0,0,0,0,0,0,1,0,0,0,100,0
287,Aegon Targaryen (son of Aenys I),1,0,0,0,0,0,1,0,0,0,17,0
288,Aegon Targaryen (son of Rhaegar),1,0,0,0,0,0,0,0,0,0,2,0
289,Aemon Costayne,1,0,0,1,0,0,0,0,0,1,,0.010033445
290,Aenys I Targaryen,1,0,0,0,0,0,0,5,1,0,,0.571906355
291,Aethan,0,0,0,1,0,0,0,0,0,1,,0.010033445
292,Aethelmure,0,1,0,0,0,0,1,0,0,1,,0.013377926
293,Aggar,1,0,1,0,0,1,0,0,0,0,,0.026755853
294,Agrivane,0,0,0,0,1,0,1,0,0,1,,0.006688963
295,Aerys I Targaryen,1,0,0,0,0,0,0,3,1,0,,0.622073579
296,Alaric of Eysen,0,0,0,1,1,0,0,0,0,1,,0.016722408
